block_bytes,bytes_per_transfer,case_name,device_id,direction,dtype,gbps,h2d_backend,iters,layers,mean_ms,measured_direction,num_cpu_blocks,num_gpu_blocks,p50_ms,p90_ms,p95_ms,p99_ms,pattern,selected_blocks,status,wall_mean_ms,warmup
4096,65536,worker_local_copy,0,h2d,float16,0.1109797777377647,mapped,10,1,0.5905219972133636,h2d,4096,4096,0.5877899825572969,0.6039200246334075,0.6065300017595291,0.6086179834604264,random,8,pass,1.0260768001899123,3
4096,262144,worker_local_copy,0,h2d,float16,0.4399880425264054,mapped,10,1,0.595798009634018,h2d,4096,4096,0.5942099988460541,0.6070180118083954,0.6078189998865128,0.6084597903490067,random,32,pass,1.0073305340483785,3
4096,1048576,worker_local_copy,0,h2d,float16,1.7475043314808216,mapped,10,1,0.6000420033931732,h2d,4096,4096,0.5985000133514404,0.6157300055027009,0.6178450077772141,0.6195370095968246,random,128,pass,1.040783990174532,3
4096,4194304,worker_local_copy,0,h2d,float16,6.699074586598366,mapped,10,1,0.6261020004749298,h2d,4096,4096,0.6243000030517578,0.6540740132331849,0.6554870009422302,0.6566173911094665,random,512,pass,1.2702845269814134,3
16384,262144,worker_local_copy,0,h2d,float16,0.4282237175072868,mapped,10,1,0.6121659994125366,h2d,4096,4096,0.6067399978637695,0.6330020129680634,0.643091008067131,0.6511622041463851,random,8,pass,1.043984992429614,3
16384,1048576,worker_local_copy,0,h2d,float16,1.7052289747225353,mapped,10,1,0.6149180054664611,h2d,4096,4096,0.611160010099411,0.633670002222061,0.6434349864721299,0.6512469738721848,random,32,pass,1.0416247881948948,3
16384,4194304,worker_local_copy,0,h2d,float16,6.899638402065038,mapped,10,1,0.6079020023345948,h2d,4096,4096,0.6030199825763704,0.6250120222568512,0.6269560068845749,0.6285111945867539,random,128,pass,1.2385572539642453,3
16384,16777216,worker_local_copy,0,h2d,float16,27.55205208901551,mapped,10,1,0.6089280009269714,h2d,4096,4096,0.6040500104427338,0.6253799915313721,0.6288899838924409,0.6316979777812958,random,512,pass,2.7207412756979465,3
65536,1048576,worker_local_copy,0,h2d,float16,1.746596180899741,mapped,10,1,0.6003539979457856,h2d,4096,4096,0.5981299877166748,0.6203640222549438,0.6207419991493225,0.6210443806648255,random,8,pass,1.0226376820355654,3
65536,4194304,worker_local_copy,0,h2d,float16,7.084159196840736,mapped,10,1,0.5920680046081543,h2d,4096,4096,0.588699996471405,0.6005900204181671,0.6012649983167647,0.6018049806356429,random,32,pass,1.1951727559790015,3
65536,16777216,worker_local_copy,0,h2d,float16,27.29103115473557,mapped,10,1,0.6147520005702972,h2d,4096,4096,0.5818800032138824,0.6686500132083891,0.7692249923944474,0.8496849757432937,random,128,pass,2.774109854362905,3
65536,67108864,worker_local_copy,0,h2d,float16,105.394784645751,mapped,10,1,0.636737996339798,h2d,4096,4096,0.6109299957752228,0.7678760051727296,0.769298005104065,0.7704356050491333,random,512,pass,9.307070774957538,3
