block_bytes,bytes_per_transfer,case_name,device_id,direction,dtype,gbps,h2d_backend,iters,layers,mean_ms,measured_direction,num_cpu_blocks,num_gpu_blocks,p50_ms,p90_ms,p95_ms,p99_ms,pattern,selected_blocks,status,wall_mean_ms,warmup
4096,65536,worker_local_copy,0,h2d,float16,0.14525080215555194,copy,10,1,0.4511920005083084,h2d,4096,4096,0.44973000884056097,0.4985879927873612,0.5275139942765237,0.5506547954678536,random,8,pass,0.8525135228410363,3
4096,262144,worker_local_copy,0,h2d,float16,0.15031399540778173,copy,10,1,1.7439759969711301,h2d,4096,4096,1.6451700329780579,1.9295660018920895,2.2556629657745364,2.5165405368804934,random,32,pass,2.118774177506566,3
4096,1048576,worker_local_copy,0,h2d,float16,0.16370208396519387,copy,10,1,6.405391883850098,h2d,4096,4096,6.1675097942352295,6.705517816543579,7.47761871814728,8.095299439430237,random,128,pass,6.828295206651092,3
4096,4194304,worker_local_copy,0,h2d,float16,0.16086231291766379,copy,10,1,26.073875999450685,h2d,4096,4096,25.34243965148926,28.295094490051266,29.387217044830326,30.26091508865357,random,512,pass,26.575703639537096,3
16384,262144,worker_local_copy,0,h2d,float16,0.5051683889576274,copy,10,1,0.5189239978790283,h2d,4096,4096,0.4707299917936325,0.6550160050392151,0.706928014755249,0.7484576225280762,random,8,pass,0.902833417057991,3
16384,1048576,worker_local_copy,0,h2d,float16,0.5550270619971481,copy,10,1,1.8892340064048767,h2d,4096,4096,1.9054200053215027,1.9371660351753235,1.937913030385971,1.9385106265544891,random,32,pass,2.27247707080096,3
16384,4194304,worker_local_copy,0,h2d,float16,0.5826224956279267,copy,10,1,7.199007987976074,h2d,4096,4096,7.215929985046387,7.312622165679932,7.322081136703492,7.329648313522339,random,128,pass,7.647885615006089,3
16384,16777216,worker_local_copy,0,h2d,float16,0.5918297609743562,copy,10,1,28.348043823242186,h2d,4096,4096,28.520689964294434,29.47049617767334,29.52339792251587,29.565719318389892,random,512,pass,28.865762799978256,3
65536,1048576,worker_local_copy,0,h2d,float16,0.6415985021450542,copy,10,1,1.6343180298805238,h2d,4096,4096,1.2348500490188596,2.754611992835998,3.6468360543251053,4.360615303516389,random,8,pass,2.0195099990814924,3
65536,4194304,worker_local_copy,0,h2d,float16,0.7987562039238619,copy,10,1,5.251044034957886,h2d,4096,4096,5.2898900508880615,5.895170116424561,5.933375072479247,5.963939037322998,random,32,pass,5.655007739551365,3
65536,16777216,worker_local_copy,0,h2d,float16,0.7679914587791972,copy,10,1,21.845576286315918,h2d,4096,4096,20.253250122070312,26.69721622467041,28.497198200225835,29.937183780670168,random,128,pass,22.29205856565386,3
65536,67108864,worker_local_copy,0,h2d,float16,0.7756067914615025,copy,10,1,86.5243377685547,h2d,4096,4096,85.33629989624022,91.2103256225586,96.64769287109377,100.99758666992189,random,512,pass,87.0765530038625,3
