block_bytes,bytes_per_transfer,case_name,device_id,direction,dtype,gbps,iters,layers,mean_ms,measured_direction,num_cpu_blocks,num_gpu_blocks,p50_ms,p90_ms,p95_ms,p99_ms,pattern,selected_blocks,status,wall_mean_ms,warmup
4096,262144,worker_local_copy,0,h2d,float16,0.18452579951791864,5,1,1.420636034011841,h2d,4096,4096,1.206380009651184,1.920136022567749,1.927068018913269,1.9326136159896852,random,32,pass,1.8233689945191145,2
4096,262144,worker_local_copy,0,d2h,float16,0.15509753702017043,5,1,1.6901880264282225,d2h,4096,4096,1.818060040473938,1.9097360372543335,1.91428804397583,1.9179296493530273,random,32,pass,2.118868427351117,2
4096,262144,worker_local_copy,0,bidirectional,float16,0.12025351335609767,5,1,2.1799279928207396,bidirectional_d2h,4096,4096,2.0989000797271733,2.4450439929962156,2.5328520298004147,2.6030984592437743,random,32,pass,3.0223567970097065,2
4096,262144,worker_local_copy,0,bidirectional,float16,0.10703249995819011,5,1,2.4492000102996823,bidirectional_h2d,4096,4096,2.5868599414825444,2.6674799919128422,2.6834599971771245,2.69624400138855,random,32,pass,3.0223567970097065,2
4096,524288,worker_local_copy,0,bidirectional,float16,0.17346992271684336,5,1,3.0223567970097065,bidirectional_combined_wall,4096,4096,2.9814341105520725,3.2713800203055143,3.350875014439225,3.414471009746194,random,32,pass,3.0223567970097065,2
4096,1048576,worker_local_copy,0,h2d,float16,0.170507037093875,5,1,6.149752044677734,h2d,4096,4096,6.719639778137207,6.803768062591553,6.8125240325927745,6.81952880859375,random,128,pass,6.53060507029295,2
4096,1048576,worker_local_copy,0,d2h,float16,0.17437323362155072,5,1,6.013399982452393,d2h,4096,4096,6.227880001068115,6.658855915069581,6.77408790588379,6.866273498535157,random,128,pass,6.463750405237079,2
4096,1048576,worker_local_copy,0,bidirectional,float16,0.09671368932179573,5,1,10.842063903808594,bidirectional_d2h,4096,4096,10.359919548034668,11.671979904174805,11.76963996887207,11.847768020629884,random,128,pass,12.560149794444442,2
4096,1048576,worker_local_copy,0,bidirectional,float16,0.08702072076201581,5,1,12.049727821350098,bidirectional_h2d,4096,4096,12.129199981689453,12.359163665771485,12.403091621398927,12.438233985900878,random,128,pass,12.560149794444442,2
4096,2097152,worker_local_copy,0,bidirectional,float16,0.1669687093164768,5,1,12.560149794444442,bidirectional_combined_wall,4096,4096,12.615274172276258,12.984372815117238,13.03026145324111,13.066972363740206,random,128,pass,12.560149794444442,2
16384,1048576,worker_local_copy,0,h2d,float16,0.352744245906626,5,1,2.9726239681243896,h2d,4096,4096,1.548200011253357,5.716439914703368,6.340439891815185,6.839639873504638,random,32,pass,3.3671763725578785,2
16384,1048576,worker_local_copy,0,d2h,float16,0.30503958003471454,5,1,3.4375080108642577,d2h,4096,4096,3.7244999408721924,4.433068084716797,4.489704036712647,4.535012798309326,random,32,pass,3.8968505803495646,2
16384,1048576,worker_local_copy,0,bidirectional,float16,0.15573450268656525,5,1,6.733100128173829,bidirectional_d2h,4096,4096,6.636240005493164,8.488236236572266,9.102068328857422,9.593134002685547,random,32,pass,7.603935385122895,2
16384,1048576,worker_local_copy,0,bidirectional,float16,0.19251032414788946,5,1,5.446855926513672,bidirectional_h2d,4096,4096,5.180059909820557,6.183116054534912,6.4597681045532225,6.681089744567871,random,32,pass,7.603935385122895,2
16384,2097152,worker_local_copy,0,bidirectional,float16,0.27579824048782414,5,1,7.603935385122895,bidirectional_combined_wall,4096,4096,7.5095659121870995,9.363938076421618,9.96688506565988,10.449242657050492,random,32,pass,7.603935385122895,2
16384,4194304,worker_local_copy,0,h2d,float16,0.28374378291907587,5,1,14.782011985778809,h2d,4096,4096,14.759539604187012,15.133292198181154,15.221196174621582,15.291519355773925,random,128,pass,15.176776284351945,2
16384,4194304,worker_local_copy,0,d2h,float16,0.2879785553912184,5,1,14.564640045166017,d2h,4096,4096,14.567999839782715,15.076424217224123,15.198752212524415,15.29661460876465,random,128,pass,15.037704771384597,2
