block_bytes,bytes_per_transfer,case_name,device_id,direction,dtype,gbps,iters,layers,mean_ms,measured_direction,num_cpu_blocks,num_gpu_blocks,p50_ms,p90_ms,p95_ms,p99_ms,pattern,selected_blocks,status,wall_mean_ms,warmup
16384,4194304,worker_local_copy,0,bidirectional,float16,0.2071871428605347,5,1,20.244036102294924,bidirectional_d2h,4096,4096,19.64707946777344,24.723072433471682,24.841256332397464,24.935803451538085,random,128,pass,24.608066538348794,2
16384,4194304,worker_local_copy,0,bidirectional,float16,0.18089716340716297,5,1,23.18612365722656,bidirectional_h2d,4096,4096,22.731639862060547,24.361891555786137,24.725435638427737,25.016270904541017,random,128,pass,24.608066538348794,2
16384,8388608,worker_local_copy,0,bidirectional,float16,0.3408885451007431,5,1,24.608066538348794,bidirectional_combined_wall,4096,4096,25.547354016453028,25.955294026061893,26.078617433086038,26.177276158705354,random,128,pass,24.608066538348794,2
65536,4194304,worker_local_copy,0,h2d,float16,0.4660070632598428,5,1,9.000515937805176,h2d,4096,4096,9.013099670410156,11.647019958496095,12.198759841918944,12.640151748657226,random,32,pass,9.397510020062327,2
65536,4194304,worker_local_copy,0,d2h,float16,0.712501270594226,5,1,5.886731958389282,d2h,4096,4096,5.822460174560547,8.151435852050781,8.392047882080078,8.584537506103516,random,32,pass,6.341754784807563,2
65536,4194304,worker_local_copy,0,bidirectional,float16,0.28618419301192705,5,1,14.655959701538084,bidirectional_d2h,4096,4096,14.29281997680664,17.292075347900393,18.20854721069336,18.941724700927736,random,32,pass,15.563132707029581,2
65536,4194304,worker_local_copy,0,bidirectional,float16,0.3317471124618814,5,1,12.643076133728027,bidirectional_h2d,4096,4096,14.442159652709963,17.59534454345703,18.57609272003174,19.360691261291507,random,32,pass,15.563132707029581,2
65536,8388608,worker_local_copy,0,bidirectional,float16,0.5390051063569624,5,1,15.563132707029581,bidirectional_combined_wall,4096,4096,15.174704836681485,18.2149447966367,19.135837350040674,19.872551392763853,random,32,pass,15.563132707029581,2
65536,16777216,worker_local_copy,0,h2d,float16,0.814370248222352,5,1,20.601459884643557,h2d,4096,4096,20.503759384155273,22.25538787841797,22.532263565063477,22.753764114379887,random,128,pass,21.014751447364688,2
65536,16777216,worker_local_copy,0,d2h,float16,0.8438005825047991,5,1,19.8829158782959,d2h,4096,4096,19.512479782104492,20.78367195129395,21.176115798950192,21.490070877075194,random,128,pass,20.414934400469065,2
65536,16777216,worker_local_copy,0,bidirectional,float16,0.44096640355855937,5,1,38.046472167968744,bidirectional_d2h,4096,4096,37.78268051147461,40.38328399658203,40.77131195068359,41.08173431396485,random,128,pass,39.25402476452291,2
65536,16777216,worker_local_copy,0,bidirectional,float16,0.44429539345749525,5,1,37.761399841308595,bidirectional_h2d,4096,4096,37.45069885253906,40.52148742675781,40.707723236083986,40.856711883544925,random,128,pass,39.25402476452291,2
65536,33554432,worker_local_copy,0,bidirectional,float16,0.8548023343156878,5,1,39.25402476452291,bidirectional_combined_wall,4096,4096,38.977978052571416,41.615125723183155,42.009226279333234,42.3245067242533,random,128,pass,39.25402476452291,2
