backend,case_name,device_id,dst_blocks,dst_pattern,fragment_bytes,gbps,iters,mean_ms,num_pages,p50_ms,p90_ms,p95_ms,p99_ms,returncode,selected_blocks,src_pattern,status,useful_mib,warmup
HBM gather op,fragment_count_sweep,0,8,random,4096,2.06,3,0.016,4096,0.015,0.017,0.017,0.017,0,8,random,pass,0.03,1
mapped-host gather op,fragment_count_sweep,0,32,random,4096,5.62,3,0.023,4096,0.019,0.03,0.032,0.033,0,32,random,pass,0.12,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,32,random,4096,0.13,3,1.026,4096,1.005,1.061,1.068,1.073,0,32,random,pass,0.12,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,32,random,4096,2.2,3,0.06,4096,0.062,0.063,0.063,0.063,0,32,random,pass,0.12,1
HBM gather op,fragment_count_sweep,0,32,random,4096,7.11,3,0.018,4096,0.019,0.02,0.02,0.02,0,32,random,pass,0.12,1
mapped-host gather op,fragment_count_sweep,0,128,random,4096,8.73,3,0.06,4096,0.054,0.07,0.072,0.073,0,128,random,pass,0.5,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,128,random,4096,0.14,3,3.636,4096,3.654,3.703,3.709,3.714,0,128,random,pass,0.5,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,128,random,4096,3.78,3,0.139,4096,0.137,0.144,0.145,0.146,0,128,random,pass,0.5,1
HBM gather op,fragment_count_sweep,0,128,random,4096,33.24,3,0.016,4096,0.016,0.02,0.021,0.021,0,128,random,pass,0.5,1
mapped-host gather op,fragment_count_sweep,0,512,random,4096,10.34,3,0.203,4096,0.199,0.21,0.212,0.213,0,512,random,pass,2.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,512,random,4096,0.1,3,20.79,4096,20.747,21.101,21.145,21.18,0,512,random,pass,2.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,512,random,4096,0.6,3,3.505,4096,3.08,4.27,4.419,4.538,0,512,random,pass,2.0,1
HBM gather op,fragment_count_sweep,0,512,random,4096,114.14,3,0.018,4096,0.014,0.025,0.026,0.028,0,512,random,pass,2.0,1
mapped-host gather op,fragment_count_sweep,0,2048,random,4096,10.83,3,0.774,4096,0.77,0.783,0.784,0.785,0,2048,random,pass,8.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,2048,random,4096,0.13,3,62.312,4096,62.342,62.879,62.946,63.0,0,2048,random,pass,8.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,2048,random,4096,2.56,3,3.279,4096,3.138,3.8,3.883,3.949,0,2048,random,pass,8.0,1
HBM gather op,fragment_count_sweep,0,2048,random,4096,320.26,3,0.026,4096,0.023,0.03,0.031,0.032,0,2048,random,pass,8.0,1
mapped-host gather op,fragment_count_sweep,0,1,random,16384,0.74,3,0.022,4096,0.021,0.031,0.032,0.033,0,1,random,pass,0.02,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,1,random,16384,0.43,3,0.038,4096,0.036,0.042,0.042,0.043,0,1,random,pass,0.02,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,1,random,16384,0.0,3,7.764,4096,0.055,18.568,20.882,22.733,0,1,random,pass,0.02,1
HBM gather op,fragment_count_sweep,0,1,random,16384,1.12,3,0.015,4096,0.016,0.019,0.019,0.02,0,1,random,pass,0.02,1
mapped-host gather op,fragment_count_sweep,0,8,random,16384,4.33,3,0.03,4096,0.022,0.042,0.044,0.046,0,8,random,pass,0.12,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,8,random,16384,0.04,3,3.412,4096,0.513,7.592,8.477,9.185,0,8,random,pass,0.12,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,8,random,16384,1.22,3,0.107,4096,0.112,0.127,0.129,0.13,0,8,random,pass,0.12,1
HBM gather op,fragment_count_sweep,0,8,random,16384,15.12,3,0.009,4096,0.006,0.013,0.014,0.015,0,8,random,pass,0.12,1
mapped-host gather op,fragment_count_sweep,0,32,random,16384,8.92,3,0.059,4096,0.054,0.066,0.068,0.069,0,32,random,pass,0.5,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,32,random,16384,0.57,3,0.925,4096,0.885,1.016,1.032,1.045,0,32,random,pass,0.5,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,32,random,16384,0.24,3,2.171,4096,0.682,4.64,5.134,5.53,0,32,random,pass,0.5,1
HBM gather op,fragment_count_sweep,0,32,random,16384,34.06,3,0.015,4096,0.016,0.022,0.023,0.023,0,32,random,pass,0.5,1
mapped-host gather op,fragment_count_sweep,0,128,random,16384,10.39,3,0.202,4096,0.199,0.208,0.209,0.21,0,128,random,pass,2.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,128,random,16384,0.1,3,21.913,4096,21.823,22.137,22.176,22.208,0,128,random,pass,2.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,128,random,16384,0.54,3,3.892,4096,5.152,5.249,5.261,5.271,0,128,random,pass,2.0,1
HBM gather op,fragment_count_sweep,0,128,random,16384,137.19,3,0.015,4096,0.011,0.022,0.023,0.024,0,128,random,pass,2.0,1
mapped-host gather op,fragment_count_sweep,0,512,random,16384,10.78,3,0.778,4096,0.774,0.787,0.788,0.789,0,512,random,pass,8.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,512,random,16384,0.07,3,124.146,4096,124.164,124.284,124.299,124.311,0,512,random,pass,8.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,512,random,16384,0.81,3,10.309,4096,10.295,10.473,10.495,10.513,0,512,random,pass,8.0,1
HBM gather op,fragment_count_sweep,0,512,random,16384,381.88,3,0.022,4096,0.018,0.028,0.029,0.03,0,512,random,pass,8.0,1
mapped-host gather op,fragment_count_sweep,0,2048,random,16384,10.94,3,3.068,4096,3.061,3.079,3.082,3.084,0,2048,random,pass,32.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,2048,random,16384,0.34,3,98.868,4096,99.967,100.023,100.03,100.036,0,2048,random,pass,32.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,2048,random,16384,1.01,3,33.309,4096,30.238,51.992,54.712,56.887,0,2048,random,pass,32.0,1
