backend,case_name,device_id,dst_blocks,dst_pattern,fragment_bytes,gbps,iters,mean_ms,num_pages,p50_ms,p90_ms,p95_ms,p99_ms,returncode,selected_blocks,src_pattern,status,useful_mib,warmup
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,65536,2.18,3,30.766,4096,22.616,46.025,48.951,51.292,0,1024,sequential,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,65536,954.61,3,0.07,4096,0.07,0.071,0.071,0.071,0,1024,sequential,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,65536,9.41,3,7.128,4096,7.126,7.133,7.133,7.134,0,1024,sequential,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,65536,1.45,3,46.188,4096,45.31,47.839,48.155,48.408,0,1024,sequential,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,65536,2.07,3,32.467,4096,24.222,47.674,50.605,52.95,0,1024,sequential,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,65536,965.32,3,0.07,4096,0.069,0.07,0.07,0.07,0,1024,sequential,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,65536,9.41,3,7.133,4096,7.132,7.134,7.134,7.135,0,1024,sequential,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,65536,1.4,3,47.889,4096,47.48,48.891,49.068,49.209,0,1024,sequential,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,65536,2.03,3,33.078,4096,25.435,47.876,50.681,52.926,0,1024,sequential,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,65536,961.81,3,0.07,4096,0.07,0.07,0.07,0.07,0,1024,sequential,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,65536,9.39,3,7.15,4096,7.145,7.157,7.159,7.16,0,1024,stride,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,65536,1.72,3,38.989,4096,38.919,39.434,39.498,39.55,0,1024,stride,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,65536,1.79,3,37.454,4096,25.284,59.84,64.159,67.615,0,1024,stride,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,65536,967.17,3,0.069,4096,0.07,0.07,0.07,0.07,0,1024,stride,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,65536,9.38,3,7.153,4096,7.15,7.163,7.165,7.166,0,1024,stride,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,65536,1.54,3,43.619,4096,42.874,44.747,44.981,45.168,0,1024,stride,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,65536,1.66,3,40.471,4096,28.454,62.477,66.73,70.132,0,1024,stride,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,65536,962.36,3,0.07,4096,0.07,0.07,0.07,0.07,0,1024,stride,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,65536,9.38,3,7.154,4096,7.148,7.163,7.164,7.166,0,1024,stride,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,65536,1.53,3,43.913,4096,43.359,44.939,45.136,45.294,0,1024,stride,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,65536,1.78,3,37.757,4096,28.999,52.511,55.45,57.801,0,1024,stride,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,65536,955.51,3,0.07,4096,0.07,0.071,0.071,0.071,0,1024,stride,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,65536,9.39,3,7.145,4096,7.143,7.148,7.148,7.148,0,1024,random,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,65536,1.74,3,38.664,4096,38.64,39.733,39.869,39.979,0,1024,random,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,65536,1.81,3,37.162,4096,28.189,52.488,55.525,57.955,0,1024,random,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,65536,957.42,3,0.07,4096,0.07,0.071,0.071,0.071,0,1024,random,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,65536,9.39,3,7.15,4096,7.146,7.157,7.158,7.159,0,1024,random,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,65536,1.62,3,41.483,4096,40.617,43.013,43.313,43.552,0,1024,random,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,65536,1.79,3,37.467,4096,34.01,47.291,48.951,50.279,0,1024,random,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,65536,966.62,3,0.069,4096,0.07,0.07,0.07,0.07,0,1024,random,pass,64.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,65536,9.38,3,7.154,4096,7.149,7.165,7.167,7.168,0,1024,random,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,65536,1.7,3,39.51,4096,38.771,40.561,40.785,40.964,0,1024,random,pass,64.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,65536,1.85,3,36.288,4096,27.937,50.52,53.343,55.602,0,1024,random,pass,64.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,65536,967.54,3,0.069,4096,0.069,0.07,0.07,0.07,0,1024,random,pass,64.0,1
